,0
catchment_hectares,3368531.7773
tp_load,3842763.9431999996
tn_load,46520034.300400004
tss_load,1699502256.0774999
sub_focusarea,660.0
streamorder,30047.0
tn_loadrate_xs,-116505.33885448288
tp_loadrate_xs,11624.293085556996
tn_loadrate_red,663.6687025934627
tp_loadrate_red,147.93193143279228
tss_loadrate_red,103272.13546011031
tn_loadrate_rem_p,1019.0966721375211
tss_loadrate_rem_p,1873.9269902942533
tn_load_rem,-36890634.29067194
tp_loadrate_rem_p,4843.8334572740905
tn_load_xsnps,-36836348.94867194
tp_load_xsnps,300414.35084712424
