fa_name,catchment_hectares,tp_load,tn_load,tss_load,tp_load_ps,tn_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem,cluster,huc12
White Clay Creek,1482.1019000000001,1429.7374,21087.448,1101635.4883,99.399800706976,2622.6047417718546,0.0,0.0,0.0,-6834.636174771855,870.8860102930239,-267530.2469199999,-7545.906174771854,659.897410293024,-478580.2370199999,Brandywine and Christina,020402050303
Brandywine Creek,5.6662,6.3466,74.8489,3843.8885,0.0,0.0,0.0,0.0,0.0,-21.873133999999997,4.590077999999999,-1390.5470599999999,-21.873133999999997,4.590077999999999,-1390.5470599999999,Brandywine and Christina,020402050202
Red Clay Creek,951.7975,486.5572,9069.3373,593214.9971,829.1183376475648,331.649335055016,0.0,0.0,0.0,-7509.495360055017,-637.6183626475647,-286055.53339999996,-7509.825660055017,-637.8116626475647,-286103.723,Brandywine and Christina,020402050305
Plum Run,260.0,139.767,4256.2669,252024.5505,29.24994135492,298.2094021008784,0.0,0.0,0.0,-480.14250210087863,29.91705864508,11836.550500000027,-1008.7548021008785,-259.68984135491996,-114306.70049999999,Brandywine and Christina,020402050401
Moselem Creek,141.0247,266.68,2762.9312,86710.402,0.0,0.0,0.0,0.0,0.0,355.6395710000001,222.96234299999998,-43568.21585999998,355.6395710000001,222.96234299999998,-43568.21585999998,Middle Schuylkill,020402030307
Lower Maiden Creek,15.8295,9.0235,229.6585,5034.556,22.4699549485488,6.6199867271648,0.0,0.0,0.0,-47.1710517271648,-18.353599948548798,-9588.736099999998,-47.1710517271648,-18.353599948548798,-9588.736099999998,Middle Schuylkill,020402030305
Lower Maiden Cr Trib 3,648.4733,1161.5135,11937.8522,334737.6629,0.0,0.0,0.0,0.0,0.0,868.4129689999988,960.486777,-264321.97163999995,386.5294690000004,853.511777,-264321.97163999995,Middle Schuylkill,020402030307
Lower Maiden Cr Trib 2,488.9183,764.978,9764.0201,203466.9961,0.0,0.0,0.0,0.0,0.0,1418.1847189999996,613.4133269999999,-248195.72944,1418.1847189999996,613.4133269999999,-248195.72944,Middle Schuylkill,020402030307
Manor Creek,1761.2097,1265.1215,20786.2956,450415.9655,0.0,0.0,0.0,0.0,0.0,-9277.553979000002,719.1464930000001,-1176589.5553599999,-9530.681579,646.3863929999999,-1211854.30886,Middle Schuylkill,020402030305
Middle Maiden Creek,907.3192,825.088,14040.6539,310774.8987,0.0,0.0,0.0,0.0,0.0,-1447.2848440000016,543.8190479999998,-527406.57826,-1964.5214440000007,411.87594799999994,-527622.2104599999,Middle Schuylkill,020402030305
Licking Creek,335.138,238.5173,4453.7369,96807.0888,0.0,0.0,0.0,0.0,0.0,-1267.0687599999997,134.62452000000002,-212793.3956,-1267.0687599999997,134.62452000000002,-212793.3956,Middle Schuylkill,020402030407
Mill Cr Younker,473.2521,295.7435,5218.5934,119762.7224,0.0,0.0,0.0,0.0,0.0,-2859.819947,149.035349,-317427.5675799999,-2863.5031469999994,147.66084900000004,-318120.46137999994,Middle Schuylkill,020402030303
