project_na,practice_i,practice_n,rn,comid,practice_t,practice_d,project_st,creator_na,program_id,program_na,created,modified,practice_url,project_url,huc12,area_acres,huc12_tssdevloadrate_lbacre,huc12_tssforeloadrate_lbacre,huc12_tndevloadrate_lbacre,huc12_tnforeloadrate_lbacre,huc12_tpdevloadrate_lbacre,huc12_tpforeloadrate_lbacre,parcel_devtssload_lbyr,parcel_foretssload_lbyr,parcel_tssload_lbyr_avoided,parcel_devtnload_lbyr,parcel_foretnload_lbyr,parcel_tnload_lbyr_avoided,parcel_devtpload_lbyr,parcel_foretpload_lbyr,parcel_tpload_lbyr_avoided
18 Years LLC,51710,18 Years LLC,1,4782711,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 18:19:13.270472,2021-07-07 18:23:05.252234,https://www.fielddoc.org/practices/51710,https://www.fielddoc.org/projects/6296,020402030702,49.678,1374.254,278.058,1.9,0.21,0.5,0.08,68269.824,13813.288,54456.536,94.388,10.432,83.956,24.839,3.974,20.865
18 Years LLC Conservation Easement,14230,18 Years LLC - Buffer - Subject,1,4782711,Fee acquisition,"The Subject property consists of 26 acres of contiguous woodlands and a small wooded stream correct which protrudes into the Match property. It is adjacent to the recently conserved 16 Years LLC property, which contains the headwaters to two tributaries",complete,John Dawes,7,Delaware River Watershed Protection Fund - Farm Buffer Capital Grants,2019-07-15 20:20:35.283384,2021-01-05 19:08:29.121430,https://www.fielddoc.org/practices/14230,https://www.fielddoc.org/projects/4937,020402030702,25.497,1374.254,278.058,1.9,0.21,0.5,0.08,35039.294,7089.631,27949.663,48.444,5.354,43.09,12.748,2.04,10.708
Aquashicola Watershed Protection Project,51736,Aquashicola Watershed Protection Project,1,4187321,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 18:19:29.217777,2021-07-08 18:20:13.085089,https://www.fielddoc.org/practices/51736,https://www.fielddoc.org/projects/6313,020401060502,40.415,922.042,121.516,1.93,0.17,0.45,0.05,37264.433,4911.072,32353.361,78.001,6.871,71.13,18.187,2.021,16.166
Bald Mountain Addition,51707,Bald Mountain Addition,1,2600659,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 17:11:43.969610,2021-07-07 17:13:21.084308,https://www.fielddoc.org/practices/51707,https://www.fielddoc.org/projects/6293,020501070202,26.536,2077.553,108.583,2.43,0.21,0.91,0.05,3808.267,199.039,3609.228,4.454,0.385,4.069,1.668,0.092,1.576
Bear Creek - Crystal Lake,5289,Bear Creek,1,4185445,Fee acquisition,Acquisition,complete,Dawn Gorham,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-04 19:03:54.420311,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/5289,https://www.fielddoc.org/projects/2665,020401060203,84.609,2077.553,108.583,2.43,0.21,0.91,0.05,175779.645,9187.118,166592.527,205.6,17.768,187.832,76.994,4.23,72.764
Bear Swamp,51709,Bear Swamp,1,4491384,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 17:37:46.360763,2021-07-07 17:39:01.314864,https://www.fielddoc.org/practices/51709,https://www.fielddoc.org/projects/6295,020402020203,225.905,958.312,210.517,1.92,0.21,0.3,0.04,216488.083,47557.065,168931.018,433.739,47.44,386.299,67.772,9.036,58.736
Bearhill Downs,42368,Bearhill Downs,1,4185365,Fee acquisition,Fee acquisition of the 300-acre property for permanent protection as either an addition to Natural Lands’ Bear Creek Preserve or for transfer to the PA Game Commission and incorporation into Game Lands No. 91.,complete,Kate Raman,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2020-01-28 22:21:12.125106,2021-07-08 18:02:37.732960,https://www.fielddoc.org/practices/42368,https://www.fielddoc.org/projects/5345,020401060203,3.017,2077.553,108.583,2.43,0.21,0.91,0.05,6267.331,327.562,5939.769,7.331,0.633,6.698,2.745,0.151,2.594
Beaver Run Forest,51713,Beaver Run Forest,1,4782709,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 19:06:23.945013,2021-07-07 19:07:01.018214,https://www.fielddoc.org/practices/51713,https://www.fielddoc.org/projects/6299,020402030702,5.017,1374.254,278.058,1.9,0.21,0.5,0.08,6894.895,1395.07,5499.825,9.533,1.054,8.479,2.509,0.401,2.108
Black Run Headwaters,51737,Black Run Headwaters,1,4491508,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 18:23:08.818756,2021-07-08 18:23:50.557038,https://www.fielddoc.org/practices/51737,https://www.fielddoc.org/projects/6316,020402020202,1.126,1663.083,493.576,2.49,0.36,0.44,0.1,1873.347,555.979,1317.368,2.805,0.406,2.399,0.496,0.113,0.383
Brodhead Forest and Stream Association,42694,Parcel 1,1,4153166,Conservation easement,,active,The Academy of Natural Sciences of Drexel University,6,Delaware River Watershed Protection Fund - Transaction Grants,2020-01-30 18:49:07.700259,2020-02-03 18:51:04.611445,https://www.fielddoc.org/practices/42694,https://www.fielddoc.org/projects/5223,020401040903,189.864,1415.264,62.402,1.66,0.15,0.55,0.03,268707.775,11847.897,256859.878,315.174,28.48,286.694,104.425,5.696,98.729
